source_no,korean_name,english_name,abbreviation,category,description,note
1,프로젝트,PROJECT,PRJ,업무,프로젝트,
2,고객,CUSTOMER,CUST,업무,고객사,
3,계약,CONTRACT,CNTR,업무,계약,
4,직원,EMPLOYEE,EMP,업무,직원,
5,영업,SALES,SALES,업무,영업,
6,예산,BUDGET,BUDGET,업무,예산,
7,원가,COST,COST,업무,원가,
8,매출,REVENUE,REV,업무,매출,
9,청구,BILL,BILL,업무,청구,
10,수금,RECEIPT,RCPT,업무,수금,
101,번호,NUMBER,NO,공통,번호,
102,명,NAME,NM,공통,명칭,
103,코드,CODE,CD,공통,코드,
104,유형,TYPE,TYPE,공통,유형,
105,상태,STATUS,STATUS,상태,,
106,구분,CLASSIFICATION,SE,공통,구분,
107,순서,SEQUENCE,SEQ,공통,정렬 및 처리 순서,
108,시작,START,START,공통,시작,
109,종료,END,END,공통,종료,
110,등록,REGISTER,REG,공통,등록,
111,수정,MODIFY,MOD,공통,수정,
112,삭제,DELETE,DEL,공통,삭제,
113,사용,USE,USE,공통,사용,
114,여부,YES NO,YN,공통,여부,
115,사용자,USER,USER,공통,시스템 사용자,
116,로그인,LOGIN,LOGIN,공통,사용자 로그인,
117,계정,ACCOUNT,ACNT,공통,사용자 계정,
118,비밀번호,PASSWORD,PWD,공통,사용자 비밀번호,
119,역할,ROLE,ROLE,공통,사용자 역할,
120,권한,PERMISSION,PERM,공통,시스템 권한,
121,메뉴,MENU,MENU,공통,시스템 메뉴,
122,조직,ORGANIZATION,ORG,공통,조직 정보,
123,상위,UPPER,UP,공통,상위 정보,
124,그룹,GROUP,GRP,공통,그룹 정보,
125,설정,CONFIGURATION,CONFIG,공통,시스템 설정,
126,로그,LOG,LOG,공통,시스템 로그,
127,접속,ACCESS,ACCESS,공통,시스템 접속,
128,감사,AUDIT,AUDIT,공통,감사 이력,
129,공지,NOTICE,NOTICE,공통,공지사항,
130,잠금,LOCK,LOCK,상태,잠금 상태,
131,실패,FAIL,FAIL,상태,실패 상태,
132,성공,SUCCESS,SUCC,상태,성공 상태,
133,제목,TITLE,TITLE,공통,제목,
134,내용,CONTENT,CONT,공통,내용,
135,정렬,SORT,SORT,공통,정렬 순서,
136,IP주소,IP ADDRESS,IP_ADDR,공통,접속 IP 주소,
137,ID,IDENTIFIER,ID,공통,식별자,
138,사업자,BUSINESS,BIZ,업무,사업 주체,
139,대표자,REPRESENTATIVE,CEO,업무,대표자,
140,전화,TELEPHONE,TEL,공통,전화,
141,부서,DEPARTMENT,DEPT,업무,부서,
142,직급,POSITION,POSITION,업무,직급,
143,기술,SKILL,SKILL,업무,기술,
144,등급,GRADE,GRADE,공통,등급,
145,인건비,LABOR COST,LABOR_COST,업무,인건비,
146,외주비,OUTSOURCING COST,OUTSRC_COST,업무,외주비,
147,경비,EXPENSE,EXPENSE,업무,경비,
148,미수금,OUTSTANDING AMOUNT,OUTSTANDING,업무,미수금,
201,일자,DATE,DT,날짜,,
202,일시,DATETIME,DTM,날짜,,
203,년도,YEAR,YY,날짜,,
204,년월,YEAR MONTH,YM,날짜,,
301,금액,AMOUNT,AMT,단위,,
302,단가,UNIT AMOUNT,UNIT_AMT,단위,,
303,수량,QUANTITY,QTY,단위,,
304,건수,COUNT,CNT,단위,,
305,비율,RATE,RATE,단위,,
306,맨먼스,MAN MONTH,MM,단위,,
307,게시,POST,POST,공통,,
308,마지막,LAST,LAST,공통,,
309,변경,CHANGE,CHG,공통,,
310,초기화,INITIALIZATION,INIT,공통,,
311,필요,REQUIRED,REQ,공통,,
312,해시,HASH,HASH,공통,,
313,값,VALUE,VAL,공통,,
314,시스템,SYSTEM,SYS,업무,,
315,설명,DESCRIPTION,DESC,공통,,
316,키,KEY,KEY,공통,,
317,이메일,EMAIL,EMAIL,공통,,
318,주소,ADDRESS,ADDR,공통,,
319,URL,URL,URL,공통,,
320,발생,OCCURRENCE,OCCUR,공통,,
321,조회,READ,READ,공통,,
322,휴대전화,MOBILE PHONE,MOBILE,공통,,
323,인력,RESOURCE,RES,업무,직원과 외주인력을 포괄하는 인적 자원,
324,성명,FULL NAME,FULL_NM,공통,개인의 전체 이름,
325,성별,GENDER,GENDER,공통,개인의 성별,
326,생년월일,BIRTH DATE,BIRTH_DT,날짜,개인의 출생 일자,
327,사원번호,EMPLOYEE NUMBER,EMP_NO,업무,회사에서 직원에게 부여한 번호,
328,입사,HIRE,HIRE,업무,직원이 회사에 입사함,
329,직위,JOB POSITION,JOB_POS,업무,조직에서 담당하는 직무상 위치,
330,재직,EMPLOYMENT,EMPLOY,상태,현재 회사에 소속되어 근무함,
331,협력,PARTNER,PARTNER,업무,업무상 협력 관계,
332,업체,VENDOR,VENDOR,업무,상품 또는 용역을 제공하는 사업자,
333,대표,REPRESENTATIVE,REP,업무,업무를 대표하는 담당자,
334,연락처,CONTACT,CONTACT,공통,연락 가능한 정보,
335,회사,COMPANY,CO,업무,영리 활동을 수행하는 조직,
336,소개,INTRODUCTION,INTRO,공통,대상의 개요를 알리는 내용,
337,분류,CLASSIFICATION,CLS,공통,기준에 따라 대상을 나눈 범주,
338,기준,BASE,BASE,공통,판단 또는 적용의 기준,
339,숙련도,PROFICIENCY,PROF,단위,기술에 익숙한 정도,
340,월,MONTH,MON,날짜,달 단위,
341,일,DAY,DAY,날짜,날 단위,
342,투입,ASSIGNMENT,ASSIGN,업무,인력을 프로젝트에 배정함,
343,월별,MONTHLY,MTHLY,날짜,월을 기준으로 구분함,
344,계획,PLAN,PLAN,업무,미리 정한 수행 방안 또는 목표,
345,실적,ACTUAL,ACTL,업무,실제로 수행한 결과,
346,확정,CONFIRMATION,CNFM,상태,검토를 마쳐 최종 상태로 정함,
347,비고,REMARK,REMARK,공통,추가로 기록하는 참고 사항,
348,담당자,CONTACT PERSON,CONTACT,업무,업무를 담당하는 사람,
349,활동,ACTIVITY,ACT,업무,고객 또는 업무 대상 활동,
350,담당,CHARGE,CHRG,업무,업무를 맡아 처리함,
351,기관,INSTITUTION,INST,업무,업무상 관련 기관,
352,상호,TRADE NAME,TRADE,업무,사업자의 영업 명칭,
353,품,ITEM,ITEM,업무,계약 대상 품목,
354,방법,METHOD,MTHD,공통,업무 처리 방식,
355,납품,DELIVERY,DLVRY,업무,계약 물품 또는 용역을 납품함,
356,기한,DEADLINE,DDLN,날짜,완료해야 하는 기한,
357,지체,DELAY,DELAY,상태,정해진 기한보다 늦어짐,
358,상금,PENALTY,PENALTY,업무,위약 또는 지체에 따른 금액,
359,인지세,STAMP TAX,STAMP_TAX,업무,계약서 등에 부과되는 세액,
360,과세,TAXATION,TAX,업무,세금을 부과함,
361,대상,TARGET,TGT,공통,업무 적용 대상,
362,보증금,DEPOSIT,DEPOSIT,단위,계약 이행을 보증하기 위한 금액,
363,지역,REGION,REGION,업무,행정 또는 업무상 지역,
364,개발,DEVELOPMENT,DEV,업무,개발 행위 또는 대상,
365,도시,URBAN,URBAN,업무,도시 관련 대상,
366,철도,RAILROAD,RAIL,업무,철도 관련 대상,
367,채권,BOND,BOND,업무,채권 또는 채권 금액,
368,팩스,FAX,FAX,연락처,팩스 번호,
369,지분,SHARE,SHARE,단위,참여 비율 또는 금액,
370,대표업체,REPRESENTATIVE VENDOR,REP_VENDOR,업무,여러 업체 중 대표 업체,
371,차수,ORDER,ORD,공통,반복 또는 변경 순서,
372,문서,DOCUMENT,DOC,업무,업무 문서,
373,파일,FILE,FILE,공통,첨부 또는 저장 파일,
374,수주,ORDER RECEIVED,ORD_RCV,업무,사업을 수주함,
375,PM,PROJECT MANAGER,PM,업무,프로젝트 관리자,
376,사업,BUSINESS,BIZ,업무,수행하거나 수주하려는 사업,
377,공고,ANNOUNCEMENT,ANNC,업무,대외에 공개한 공고,
378,종류,TYPE,TYPE,공통,대상의 종류,
379,입찰,BID,BID,업무,계약 대상자 선정을 위한 입찰,
380,발주,ORDER,ORDER,업무,사업 또는 물품을 주문함,
381,방식,METHOD,MTHD,공통,업무를 처리하는 방식,
382,재입찰,REBID,REBID,업무,동일 공고에 대한 재입찰,
383,긴급,EMERGENCY,EMRG,상태,긴급하게 처리해야 하는 상태,
384,원천,SOURCE,SRC,공통,정보가 생성되거나 유입된 출처,
385,외부,EXTERNAL,EXT,공통,시스템 또는 조직의 외부,
386,검토,REVIEW,REVIEW,업무,업무 대상의 적정성을 확인함,
387,원,ORIGINAL,ORGNL,공통,변경되기 전의 최초 대상,
388,원문,ORIGINAL,ORGNL,공통,외부에서 수신한 원본 내용,
389,최초,FIRST,FIRST,공통,시간 또는 순서상 처음,
390,최종,LAST,LAST,공통,시간 또는 순서상 마지막,
391,보완,SUPPLEMENT,SUPPL,업무,기존 정보를 추가하거나 보정함,
392,수집,COLLECTION,COLLECT,업무,외부 정보를 모아 저장함,
393,조건,CONDITION,COND,공통,처리 대상을 정하는 조건,
394,키워드,KEYWORD,KWD,공통,검색 또는 분류에 사용하는 단어,
395,실행,EXECUTION,EXEC,상태,기능 또는 작업을 수행함,
396,응답,RESPONSE,RSP,공통,요청에 대한 처리 결과,
397,신규,NEW,NEW,상태,새로 생성되거나 유입됨,
398,중복,DUPLICATE,DUP,상태,같은 대상이 둘 이상 존재함,
399,오류,ERROR,ERR,상태,정상적으로 처리되지 않은 상태,
400,재처리,REPROCESSING,REPROC,상태,실패한 처리를 다시 수행함,
401,전환,CONVERSION,CONVERT,업무,한 업무 대상을 다른 단계로 바꿈,
402,연계,RELATION,REL,업무,업무 또는 시스템 간 연결,
403,API,APPLICATION PROGRAMMING INTERFACE,API,업무,시스템 간 호출 인터페이스,
404,기본,BASE,BASE,공통,대상의 기준이 되는 값,
405,서비스키,SERVICE KEY,SERVICE_KEY,보안,외부 API 인증에 사용하는 키,
406,참조,REFERENCE,REF,공통,다른 값 또는 대상을 가리킴,
407,형식,FORMAT,FORMAT,공통,데이터의 표현 형식,
408,페이지당,PER PAGE,PAGE,단위,한 페이지를 기준으로 함,
409,최대,MAXIMUM,MAX,단위,허용되는 가장 큰 값,
410,호출,CALL,CALL,업무,외부 기능이나 API를 실행 요청함,
411,연결,CONNECTION,CONN,업무,시스템 또는 네트워크 접속,
412,타임아웃,TIMEOUT,TIMEOUT,상태,허용된 처리시간 초과,
413,초,SECOND,SEC,단위,시간을 초 단위로 나타냄,
414,HTTP,HYPERTEXT TRANSFER PROTOCOL,HTTP,업무,웹 통신 프로토콜,
415,결과,RESULT,RESULT,공통,처리 후 산출된 상태 또는 값,
